LOG_TIME,CONTENT_MATCHED,HTTP_RESPONSE_CODE,RESPONSE_MESSAGE,RESPONSE_TIME,URL
"02/11/2022    21:30:03  EET" ,"Content  matched" ,200 ,OK ,0.4325586 ,"https://www.f-secure.com/en"
"02/11/2022    21:30:04  EET" ,"Content  matched" ,200 ,OK ,0.7956401 ,"https://github.com/asraful"
"02/11/2022    21:30:04  EET" ,"Unknown  Host" ,400 ,www.foobarxyz.com ,-1.0 ,"http://www.foobarxyz.com/"
"02/11/2022    21:30:04  EET" ,"Content  not  matched" ,403 ,Forbidden ,0.2922818 ,"http://www.foobar.com/login"
"02/11/2022    21:30:13  EET" ,"Content  matched" ,200 ,OK ,0.2303329 ,"https://www.f-secure.com/en"
"02/11/2022    21:30:14  EET" ,"Content  matched" ,200 ,OK ,0.7781085 ,"https://github.com/asraful"
"02/11/2022    21:30:14  EET" ,"Unknown  Host" ,400 ,www.foobarxyz.com ,-1.0 ,"http://www.foobarxyz.com/"
"02/11/2022    21:30:14  EET" ,"Content  not  matched" ,403 ,Forbidden ,0.3022071 ,"http://www.foobar.com/login"
"02/11/2022    21:30:23  EET" ,"Content  matched" ,200 ,OK ,0.1901074 ,"https://www.f-secure.com/en"
"02/11/2022    21:30:24  EET" ,"Content  matched" ,200 ,OK ,0.7964441 ,"https://github.com/asraful"
